<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Mon Oct 20 0:00:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:01:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:02:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:03:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:04:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:05:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:06:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:07:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:08:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:09:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:10:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:11:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:12:03 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:13:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:14:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:15:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:16:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:17:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:18:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:19:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:20:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:21:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:22:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:23:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:24:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Mon Oct 20 0:25:02 UTC 2014 --> Total Number Of iPhone Users::1

