<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Sun Oct 26 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281601.838254}
INFO  - Sun Oct 26 0:00:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:00:01}
INFO  - Sun Oct 26 0:00:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sun Oct 26 0:00:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:00:01 }<br/>
INFO  - Sun Oct 26 0:00:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.007540 }<br/>
INFO  - Sun Oct 26 0:01:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281661.449708}
INFO  - Sun Oct 26 0:01:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:01:01}
INFO  - Sun Oct 26 0:01:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:01:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:01:01 }<br/>
INFO  - Sun Oct 26 0:01:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005983 }<br/>
INFO  - Sun Oct 26 0:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281721.274638}
INFO  - Sun Oct 26 0:02:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:02:01}
INFO  - Sun Oct 26 0:02:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:02:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:02:01 }<br/>
INFO  - Sun Oct 26 0:02:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002920 }<br/>
INFO  - Sun Oct 26 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281781.315083}
INFO  - Sun Oct 26 0:03:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:03:01}
INFO  - Sun Oct 26 0:03:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:03:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:03:01 }<br/>
INFO  - Sun Oct 26 0:03:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005894 }<br/>
INFO  - Sun Oct 26 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281841.347024}
INFO  - Sun Oct 26 0:04:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:04:01}
INFO  - Sun Oct 26 0:04:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sun Oct 26 0:04:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:04:01 }<br/>
INFO  - Sun Oct 26 0:04:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003700 }<br/>
INFO  - Sun Oct 26 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281901.179271}
INFO  - Sun Oct 26 0:05:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:05:01}
INFO  - Sun Oct 26 0:05:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sun Oct 26 0:05:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:05:01 }<br/>
INFO  - Sun Oct 26 0:05:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005485 }<br/>
INFO  - Sun Oct 26 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414281961.767509}
INFO  - Sun Oct 26 0:06:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:06:01}
INFO  - Sun Oct 26 0:06:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:06:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:06:01 }<br/>
INFO  - Sun Oct 26 0:06:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002910 }<br/>
INFO  - Sun Oct 26 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282021.512792}
INFO  - Sun Oct 26 0:07:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:07:01}
INFO  - Sun Oct 26 0:07:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sun Oct 26 0:07:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:07:01 }<br/>
INFO  - Sun Oct 26 0:07:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003695 }<br/>
INFO  - Sun Oct 26 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282081.523494}
INFO  - Sun Oct 26 0:08:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:08:01}
INFO  - Sun Oct 26 0:08:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sun Oct 26 0:08:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:08:01 }<br/>
INFO  - Sun Oct 26 0:08:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003991 }<br/>
INFO  - Sun Oct 26 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282141.599480}
INFO  - Sun Oct 26 0:09:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:09:01}
INFO  - Sun Oct 26 0:09:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:09:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:09:01 }<br/>
INFO  - Sun Oct 26 0:09:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003003 }<br/>
INFO  - Sun Oct 26 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282201.461875}
INFO  - Sun Oct 26 0:10:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:10:01}
INFO  - Sun Oct 26 0:10:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sun Oct 26 0:10:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:10:01 }<br/>
INFO  - Sun Oct 26 0:10:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004288 }<br/>
INFO  - Sun Oct 26 0:11:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282261.055683}
INFO  - Sun Oct 26 0:11:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:11:01}
INFO  - Sun Oct 26 0:11:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:11:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:11:01 }<br/>
INFO  - Sun Oct 26 0:11:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006087 }<br/>
INFO  - Sun Oct 26 0:12:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282321.897961}
INFO  - Sun Oct 26 0:12:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:12:01}
INFO  - Sun Oct 26 0:12:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000007 }

INFO  - Sun Oct 26 0:12:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:12:01 }<br/>
INFO  - Sun Oct 26 0:12:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003830 }<br/>
INFO  - Sun Oct 26 0:13:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282381.613777}
INFO  - Sun Oct 26 0:13:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:13:01}
INFO  - Sun Oct 26 0:13:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:13:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:13:01 }<br/>
INFO  - Sun Oct 26 0:13:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002917 }<br/>
INFO  - Sun Oct 26 0:14:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282441.833963}
INFO  - Sun Oct 26 0:14:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:14:01}
INFO  - Sun Oct 26 0:14:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sun Oct 26 0:14:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:14:01 }<br/>
INFO  - Sun Oct 26 0:14:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003489 }<br/>
INFO  - Sun Oct 26 0:15:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282501.741821}
INFO  - Sun Oct 26 0:15:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:15:01}
INFO  - Sun Oct 26 0:15:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sun Oct 26 0:15:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:15:01 }<br/>
INFO  - Sun Oct 26 0:15:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003433 }<br/>
INFO  - Sun Oct 26 0:16:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282561.338328}
INFO  - Sun Oct 26 0:16:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:16:01}
INFO  - Sun Oct 26 0:16:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:16:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:16:01 }<br/>
INFO  - Sun Oct 26 0:16:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003006 }<br/>
INFO  - Sun Oct 26 0:17:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282621.355939}
INFO  - Sun Oct 26 0:17:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:17:01}
INFO  - Sun Oct 26 0:17:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000001 }

INFO  - Sun Oct 26 0:17:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:17:01 }<br/>
INFO  - Sun Oct 26 0:17:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005243 }<br/>
INFO  - Sun Oct 26 0:18:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282681.371551}
INFO  - Sun Oct 26 0:18:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:18:01}
INFO  - Sun Oct 26 0:18:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:18:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:18:01 }<br/>
INFO  - Sun Oct 26 0:18:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002938 }<br/>
INFO  - Sun Oct 26 0:19:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282741.574348}
INFO  - Sun Oct 26 0:19:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:19:01}
INFO  - Sun Oct 26 0:19:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sun Oct 26 0:19:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:19:01 }<br/>
INFO  - Sun Oct 26 0:19:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002941 }<br/>
INFO  - Sun Oct 26 0:20:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282801.597040}
INFO  - Sun Oct 26 0:20:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:20:01}
INFO  - Sun Oct 26 0:20:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sun Oct 26 0:20:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:20:01 }<br/>
INFO  - Sun Oct 26 0:20:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004146 }<br/>
INFO  - Sun Oct 26 0:21:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414282861.239492}
INFO  - Sun Oct 26 0:21:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:21:01}
INFO  - Sun Oct 26 0:21:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

