<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Sat Oct 18 12:31:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sat Oct 18 12:31:03 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Sat Oct 18 14:19:22 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sat Oct 18 14:19:23 UTC 2014 --> Total Number Of iPhone Users::2

INFO  - Sat Oct 18 14:35:57 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sat Oct 18 14:35:58 UTC 2014 --> Total Number Of iPhone Users::2

INFO  - Sat Oct 18 14:36:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:37:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:38:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:39:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:40:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:41:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:42:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sat Oct 18 14:43:02 UTC 2014 --> Total Number Of iPhone Users::0

