<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Thu Oct 30 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627201.423446}
INFO  - Thu Oct 30 0:00:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:00:01}
INFO  - Thu Oct 30 0:00:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:00:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:00:01 }<br/>
INFO  - Thu Oct 30 0:00:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003096 }<br/>
INFO  - Thu Oct 30 0:01:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627262.038719}
INFO  - Thu Oct 30 0:01:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:01:02}
INFO  - Thu Oct 30 0:01:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:01:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:01:02 }<br/>
INFO  - Thu Oct 30 0:01:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006342 }<br/>
INFO  - Thu Oct 30 0:02:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627322.021579}
INFO  - Thu Oct 30 0:02:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:02:02}
INFO  - Thu Oct 30 0:02:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:02:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:02:02 }<br/>
INFO  - Thu Oct 30 0:02:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002917 }<br/>
INFO  - Thu Oct 30 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627381.866804}
INFO  - Thu Oct 30 0:03:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:03:01}
INFO  - Thu Oct 30 0:03:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000012 }

INFO  - Thu Oct 30 0:03:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:03:01 }<br/>
INFO  - Thu Oct 30 0:03:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003028 }<br/>
INFO  - Thu Oct 30 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627441.909188}
INFO  - Thu Oct 30 0:04:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:04:01}
INFO  - Thu Oct 30 0:04:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Thu Oct 30 0:04:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:04:01 }<br/>
INFO  - Thu Oct 30 0:04:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006891 }<br/>
INFO  - Thu Oct 30 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627501.892207}
INFO  - Thu Oct 30 0:05:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:05:01}
INFO  - Thu Oct 30 0:05:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:05:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:05:01 }<br/>
INFO  - Thu Oct 30 0:05:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004632 }<br/>
INFO  - Thu Oct 30 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627561.497285}
INFO  - Thu Oct 30 0:06:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:06:01}
INFO  - Thu Oct 30 0:06:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:06:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:06:01 }<br/>
INFO  - Thu Oct 30 0:06:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006076 }<br/>
INFO  - Thu Oct 30 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627621.460454}
INFO  - Thu Oct 30 0:07:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:07:01}
INFO  - Thu Oct 30 0:07:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:07:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:07:01 }<br/>
INFO  - Thu Oct 30 0:07:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002778 }<br/>
INFO  - Thu Oct 30 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627681.416337}
INFO  - Thu Oct 30 0:08:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:08:01}
INFO  - Thu Oct 30 0:08:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:08:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:08:01 }<br/>
INFO  - Thu Oct 30 0:08:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003186 }<br/>
INFO  - Thu Oct 30 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627741.587673}
INFO  - Thu Oct 30 0:09:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:09:01}
INFO  - Thu Oct 30 0:09:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:09:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:09:01 }<br/>
INFO  - Thu Oct 30 0:09:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002982 }<br/>
INFO  - Thu Oct 30 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627801.419162}
INFO  - Thu Oct 30 0:10:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:10:01}
INFO  - Thu Oct 30 0:10:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Thu Oct 30 0:10:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:10:01 }<br/>
INFO  - Thu Oct 30 0:10:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004157 }<br/>
INFO  - Thu Oct 30 0:11:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627862.008234}
INFO  - Thu Oct 30 0:11:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:11:02}
INFO  - Thu Oct 30 0:11:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:11:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:11:02 }<br/>
INFO  - Thu Oct 30 0:11:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005890 }<br/>
INFO  - Thu Oct 30 0:12:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627922.011083}
INFO  - Thu Oct 30 0:12:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:12:02}
INFO  - Thu Oct 30 0:12:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Thu Oct 30 0:12:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:12:02 }<br/>
INFO  - Thu Oct 30 0:12:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002802 }<br/>
INFO  - Thu Oct 30 0:13:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414627981.807149}
