<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Sat Nov 1 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800001.420870}
INFO  - Sat Nov 1 0:00:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:00:01}
INFO  - Sat Nov 1 0:00:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Nov 1 0:00:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:00:01 }<br/>
INFO  - Sat Nov 1 0:00:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004178 }<br/>
INFO  - Sat Nov 1 0:01:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800062.030552}
INFO  - Sat Nov 1 0:01:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:01:02}
INFO  - Sat Nov 1 0:01:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Nov 1 0:01:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:01:02 }<br/>
INFO  - Sat Nov 1 0:01:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006854 }<br/>
INFO  - Sat Nov 1 0:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800121.869584}
INFO  - Sat Nov 1 0:02:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:02:01}
INFO  - Sat Nov 1 0:02:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Nov 1 0:02:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:02:01 }<br/>
INFO  - Sat Nov 1 0:02:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006851 }<br/>
INFO  - Sat Nov 1 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800181.872587}
INFO  - Sat Nov 1 0:03:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:03:01}
INFO  - Sat Nov 1 0:03:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sat Nov 1 0:03:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:03:01 }<br/>
INFO  - Sat Nov 1 0:03:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003630 }<br/>
INFO  - Sat Nov 1 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800241.860283}
INFO  - Sat Nov 1 0:04:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:04:01}
INFO  - Sat Nov 1 0:04:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Nov 1 0:04:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:04:01 }<br/>
INFO  - Sat Nov 1 0:04:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003761 }<br/>
INFO  - Sat Nov 1 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800301.848584}
INFO  - Sat Nov 1 0:05:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:05:01}
INFO  - Sat Nov 1 0:05:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Nov 1 0:05:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:05:01 }<br/>
INFO  - Sat Nov 1 0:05:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003707 }<br/>
INFO  - Sat Nov 1 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800361.454791}
INFO  - Sat Nov 1 0:06:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:06:01}
INFO  - Sat Nov 1 0:06:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sat Nov 1 0:06:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:06:01 }<br/>
INFO  - Sat Nov 1 0:06:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.007052 }<br/>
INFO  - Sat Nov 1 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800421.283406}
INFO  - Sat Nov 1 0:07:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:07:01}
INFO  - Sat Nov 1 0:07:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000001 }

INFO  - Sat Nov 1 0:07:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:07:01 }<br/>
INFO  - Sat Nov 1 0:07:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002857 }<br/>
INFO  - Sat Nov 1 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800481.159227}
INFO  - Sat Nov 1 0:08:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:08:01}
INFO  - Sat Nov 1 0:08:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sat Nov 1 0:08:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:08:01 }<br/>
INFO  - Sat Nov 1 0:08:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006419 }<br/>
INFO  - Sat Nov 1 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800541.882574}
INFO  - Sat Nov 1 0:09:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:09:01}
INFO  - Sat Nov 1 0:09:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Nov 1 0:09:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:09:01 }<br/>
INFO  - Sat Nov 1 0:09:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002755 }<br/>
INFO  - Sat Nov 1 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414800601.758642}
INFO  - Sat Nov 1 0:10:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:10:01}
INFO  - Sat Nov 1 0:10:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000001 }

