<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Fri Oct 10 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899201.856303}
INFO  - Fri Oct 10 0:01:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899261.499125}
INFO  - Fri Oct 10 0:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899321.594994}
INFO  - Fri Oct 10 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899381.675365}
INFO  - Fri Oct 10 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899441.752109}
INFO  - Fri Oct 10 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899501.832375}
INFO  - Fri Oct 10 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899561.451626}
INFO  - Fri Oct 10 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899621.544244}
INFO  - Fri Oct 10 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899681.630589}
INFO  - Fri Oct 10 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899741.699363}
INFO  - Fri Oct 10 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899801.800198}
INFO  - Fri Oct 10 0:11:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899861.428495}
INFO  - Fri Oct 10 0:12:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899921.532340}
INFO  - Fri Oct 10 0:13:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412899981.603218}
INFO  - Fri Oct 10 0:14:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900041.682415}
INFO  - Fri Oct 10 0:15:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900101.787675}
INFO  - Fri Oct 10 0:16:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900161.432355}
INFO  - Fri Oct 10 0:17:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900221.515541}
INFO  - Fri Oct 10 0:18:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900281.592411}
INFO  - Fri Oct 10 0:19:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900341.672733}
INFO  - Fri Oct 10 0:20:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900401.745991}
INFO  - Fri Oct 10 0:21:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900461.363808}
INFO  - Fri Oct 10 0:22:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900521.452476}
INFO  - Fri Oct 10 0:23:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900581.531146}
INFO  - Fri Oct 10 0:24:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900641.620950}
INFO  - Fri Oct 10 0:25:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900701.708673}
INFO  - Fri Oct 10 0:26:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900761.352143}
INFO  - Fri Oct 10 0:27:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900821.422460}
INFO  - Fri Oct 10 0:28:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900881.494970}
INFO  - Fri Oct 10 0:29:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412900941.572726}
INFO  - Fri Oct 10 0:30:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901001.658131}
INFO  - Fri Oct 10 0:31:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901061.270174}
INFO  - Fri Oct 10 0:32:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901121.361803}
INFO  - Fri Oct 10 0:33:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901181.442379}
INFO  - Fri Oct 10 0:34:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901241.531793}
INFO  - Fri Oct 10 0:35:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901301.641315}
INFO  - Fri Oct 10 0:36:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901361.261001}
INFO  - Fri Oct 10 0:37:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901421.323693}
INFO  - Fri Oct 10 0:38:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901481.405753}
INFO  - Fri Oct 10 0:39:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901541.492859}
INFO  - Fri Oct 10 0:40:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901601.563715}
INFO  - Fri Oct 10 0:41:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901661.213195}
INFO  - Fri Oct 10 0:42:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901721.284669}
INFO  - Fri Oct 10 0:43:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901781.365061}
INFO  - Fri Oct 10 0:44:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901841.464480}
INFO  - Fri Oct 10 0:45:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901901.556581}
INFO  - Fri Oct 10 0:46:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412901961.188688}
INFO  - Fri Oct 10 0:47:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902021.264330}
INFO  - Fri Oct 10 0:48:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902081.351629}
INFO  - Fri Oct 10 0:49:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902141.450118}
INFO  - Fri Oct 10 0:50:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902201.523934}
INFO  - Fri Oct 10 0:51:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902261.149026}
INFO  - Fri Oct 10 0:52:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902321.231732}
INFO  - Fri Oct 10 0:53:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902381.312325}
INFO  - Fri Oct 10 0:54:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902441.394599}
INFO  - Fri Oct 10 0:55:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902501.490337}
INFO  - Fri Oct 10 0:56:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902561.109087}
INFO  - Fri Oct 10 0:57:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902621.172712}
INFO  - Fri Oct 10 0:58:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902681.235008}
INFO  - Fri Oct 10 0:59:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902741.322295}
INFO  - Fri Oct 10 1:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902801.414710}
INFO  - Fri Oct 10 1:01:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902862.040089}
INFO  - Fri Oct 10 1:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902921.138872}
INFO  - Fri Oct 10 1:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412902981.223175}
INFO  - Fri Oct 10 1:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903041.293566}
INFO  - Fri Oct 10 1:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903101.381496}
INFO  - Fri Oct 10 1:06:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903162.007897}
INFO  - Fri Oct 10 1:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903221.086666}
INFO  - Fri Oct 10 1:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903281.172085}
INFO  - Fri Oct 10 1:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903341.243189}
INFO  - Fri Oct 10 1:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903401.342516}
INFO  - Fri Oct 10 1:11:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903461.967993}
INFO  - Fri Oct 10 1:12:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903522.052233}
INFO  - Fri Oct 10 1:13:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903581.125958}
INFO  - Fri Oct 10 1:14:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903641.210969}
INFO  - Fri Oct 10 1:15:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903701.312084}
INFO  - Fri Oct 10 1:16:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903761.912174}
INFO  - Fri Oct 10 1:17:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903821.982745}
INFO  - Fri Oct 10 1:18:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903881.060740}
INFO  - Fri Oct 10 1:19:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1412903941.141457}
