<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Thu Oct 16 6:03:09 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:14:18 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:19:48 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:22:34 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:24:23 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:24:45 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:25:16 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:29:07 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:44:57 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:46:34 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:48:38 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:50:29 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Thu Oct 16 6:52:47 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 6:55:20 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:01:16 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:04:40 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:07:30 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:24:16 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:31:28 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 7:51:52 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 9:45:17 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 9:45:18 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 9:52:39 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 9:52:41 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 9:56:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 9:56:04 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 9:57:04 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 9:57:06 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 10:02:34 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 10:02:36 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 10:03:50 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 10:03:52 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 10:58:00 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 10:58:02 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:08:47 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:08:49 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:12:53 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:12:55 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:21:32 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:21:34 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:22:17 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:22:19 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:23:25 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:23:27 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:26:34 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:27:25 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:27:27 UTC 2014 --> Iphone Clue Push Failure Users:: {}
INFO  - Thu Oct 16 11:28:10 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Thu Oct 16 11:37:55 UTC 2014 --> Total Number Of iPhone Users::1

