<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Tue Oct 28 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454401.882580}
INFO  - Tue Oct 28 0:00:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:00:01}
INFO  - Tue Oct 28 0:00:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:00:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:00:01 }<br/>
INFO  - Tue Oct 28 0:00:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006336 }<br/>
INFO  - Tue Oct 28 0:01:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454461.515792}
INFO  - Tue Oct 28 0:01:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:01:01}
INFO  - Tue Oct 28 0:01:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Tue Oct 28 0:01:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:01:01 }<br/>
INFO  - Tue Oct 28 0:01:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003844 }<br/>
INFO  - Tue Oct 28 0:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454521.486400}
INFO  - Tue Oct 28 0:02:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:02:01}
INFO  - Tue Oct 28 0:02:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:02:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:02:01 }<br/>
INFO  - Tue Oct 28 0:02:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006523 }<br/>
INFO  - Tue Oct 28 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454581.494847}
INFO  - Tue Oct 28 0:03:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:03:01}
INFO  - Tue Oct 28 0:03:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Tue Oct 28 0:03:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:03:01 }<br/>
INFO  - Tue Oct 28 0:03:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003823 }<br/>
INFO  - Tue Oct 28 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454641.733602}
INFO  - Tue Oct 28 0:04:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:04:01}
INFO  - Tue Oct 28 0:04:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:04:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:04:01 }<br/>
INFO  - Tue Oct 28 0:04:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002833 }<br/>
INFO  - Tue Oct 28 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454701.696318}
INFO  - Tue Oct 28 0:05:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:05:01}
INFO  - Tue Oct 28 0:05:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Tue Oct 28 0:05:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:05:01 }<br/>
INFO  - Tue Oct 28 0:05:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004056 }<br/>
INFO  - Tue Oct 28 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454761.297007}
INFO  - Tue Oct 28 0:06:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:06:01}
INFO  - Tue Oct 28 0:06:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:06:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:06:01 }<br/>
INFO  - Tue Oct 28 0:06:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002930 }<br/>
INFO  - Tue Oct 28 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454821.338016}
INFO  - Tue Oct 28 0:07:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:07:01}
INFO  - Tue Oct 28 0:07:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:07:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:07:01 }<br/>
INFO  - Tue Oct 28 0:07:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002850 }<br/>
INFO  - Tue Oct 28 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454881.158934}
INFO  - Tue Oct 28 0:08:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:08:01}
INFO  - Tue Oct 28 0:08:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:08:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:08:01 }<br/>
INFO  - Tue Oct 28 0:08:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002905 }<br/>
INFO  - Tue Oct 28 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414454941.505998}
INFO  - Tue Oct 28 0:09:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:09:01}
INFO  - Tue Oct 28 0:09:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Tue Oct 28 0:09:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:09:01 }<br/>
INFO  - Tue Oct 28 0:09:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002967 }<br/>
INFO  - Tue Oct 28 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414455001.501551}
INFO  - Tue Oct 28 0:10:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:10:01}
INFO  - Tue Oct 28 0:10:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

